iter	F1	Logloss
0	0.8119956888	0.6851022
1	0.830771915	0.6768162579
2	0.8492948869	0.667467998
3	0.8525446405	0.6586381114
4	0.8542905434	0.6509151173
5	0.8600741629	0.6429792362
6	0.8595208906	0.6347521663
7	0.8548781786	0.6279727054
8	0.8585623793	0.6212311872
9	0.8586504494	0.6133644147
10	0.8595855763	0.6064482039
11	0.859479544	0.5999494969
12	0.8622166177	0.5934171876
13	0.8614584596	0.5876210591
14	0.8622556575	0.5807697539
15	0.8632198222	0.5743030497
16	0.8638933866	0.5690855981
17	0.863718168	0.5629725389
18	0.8650259319	0.5576068197
19	0.8652381236	0.5511206936
20	0.8648138444	0.5460679463
21	0.8650610001	0.5406210046
22	0.8642840801	0.5361683246
23	0.8648491851	0.5309181126
24	0.863718168	0.5260396644
25	0.8649550796	0.5210651304
26	0.8632573603	0.5170351015
27	0.8627957802	0.5125900619
28	0.8613805652	0.5078136123
29	0.8634006023	0.5034655548
30	0.8645316568	0.499087001
31	0.8660106866	0.4949775559
32	0.866222204	0.4906961617
33	0.8657992725	0.4866198946
34	0.8662888089	0.4828423438
35	0.8674826994	0.4789211676
36	0.8674087856	0.475563776
37	0.8667110693	0.4717125691
38	0.8688123548	0.4680238417
39	0.8663943354	0.4652103118
40	0.8677254023	0.4617401437
41	0.8683897642	0.4586187699
42	0.8689477448	0.4553031044
43	0.8695049361	0.452870235
44	0.8688421684	0.4498998784
45	0.8682841808	0.4466402095
46	0.8686310923	0.4435223234
47	0.8678621038	0.4407979184
48	0.8679675845	0.4379026868
49	0.8681786231	0.4353140676
50	0.8679675845	0.4327750714
51	0.8688719036	0.4303537097
52	0.8692938228	0.4278889324
53	0.8698217984	0.4259681442
54	0.8693993666	0.4237660391
55	0.8696105312	0.4217941918
56	0.8702725412	0.4194125187
57	0.870589536	0.4171551845
58	0.8700331682	0.4149442668
59	0.8699274705	0.4128672978
60	0.8696105312	0.4109271137
61	0.8700331682	0.4087332206
62	0.8704838454	0.4066448555
63	0.8706952522	0.4044638837
64	0.871012555	0.4027207079
65	0.869581743	0.4006148533
66	0.8697932813	0.3987352818
67	0.872097422	0.3971993197
68	0.8701107819	0.3955081222
69	0.8701107819	0.3940265951
70	0.8715156385	0.3919923189
71	0.8728395441	0.390386844
72	0.873051811	0.3888826869
73	0.8731820715	0.3872349589
74	0.8728395441	0.3857311946
75	0.8728395441	0.3842307175
76	0.8727334493	0.3830587163
77	0.8725213371	0.3820435444
78	0.8726273803	0.3805649206
79	0.8719658525	0.3791092216
80	0.8732881328	0.377851064
81	0.8733942198	0.3767676795
82	0.8727334493	0.3758217309
83	0.8733942198	0.3744198276
84	0.8739481111	0.3731108778
85	0.8740542162	0.3718291804
86	0.875031963	0.3706337238
87	0.875138189	0.3691770248
88	0.874160347	0.3680367706
89	0.8752444408	0.366999016
90	0.875031963	0.3656566898
91	0.875138189	0.3647819654
92	0.874903985	0.3638236751
93	0.875563351	0.3627385051
94	0.8753507184	0.3618108385
95	0.8753507184	0.3606375895
96	0.8753507184	0.3595239056
97	0.874903985	0.3586861929
98	0.8750103223	0.3576245226
99	0.8750103223	0.3567596813
100	0.8754570218	0.3559698696
101	0.8752444408	0.3550331495
102	0.875563351	0.3543349305
103	0.8754570218	0.3534166865
104	0.8753507184	0.3525358147
105	0.875563351	0.3516561972
106	0.875563351	0.3508694124
107	0.875776087	0.3501531048
108	0.8752230744	0.3492638089
109	0.8760953848	0.3485363417
110	0.8758824937	0.3479171411
111	0.8759889263	0.3472629957
112	0.8760953848	0.3462960408
113	0.8759889263	0.3455810573
114	0.8759889263	0.3447912988
115	0.8758824937	0.344161909
116	0.8759889263	0.3434418689
117	0.8760953848	0.3427114463
118	0.8760953848	0.3420345635
119	0.8755423967	0.3412672939
120	0.8755423967	0.3406665689
121	0.8760953848	0.3400465439
122	0.8763083794	0.3396116708
123	0.8762018692	0.3390310743
124	0.8764149156	0.3384200509
125	0.8764149156	0.3379131585
126	0.8762018692	0.3376012332
127	0.8762018692	0.337113141
128	0.8757554077	0.3365752479
129	0.8758619521	0.3359168785
130	0.8758619521	0.3354204871
131	0.8756488893	0.3348689883
132	0.8757554077	0.3344502318
133	0.8764149156	0.33403299
134	0.8765214776	0.3334026278
135	0.8766280656	0.3328564444
136	0.876288389	0.3323611912
137	0.8770546768	0.331912579
138	0.8768413193	0.3314301447
139	0.8760751186	0.3309461038
140	0.8770546768	0.3306982284
141	0.8771613945	0.3302088629
142	0.8770546768	0.3298084236
143	0.8772681382	0.3293680421
144	0.8770546768	0.328935271
145	0.8770546768	0.3286302048
146	0.8772681382	0.3281748666
147	0.8772681382	0.32770549
148	0.8771613945	0.3271159284
149	0.8773749078	0.3266495707
150	0.8773749078	0.3260489185
151	0.8772681382	0.3256352163
152	0.8772681382	0.3251534627
153	0.8772681382	0.3246541932
154	0.8771613945	0.324242622
155	0.8773749078	0.3237567645
156	0.8776953728	0.3231113847
157	0.8775885251	0.3227792633
158	0.8775885251	0.3223354645
159	0.8776953728	0.3219596462
160	0.8776953728	0.3215386927
161	0.8776953728	0.3211903628
162	0.8782474523	0.3208462843
163	0.8789056062	0.3205163808
164	0.8790124886	0.3202102072
165	0.8791193971	0.319639819
166	0.8791193971	0.3193149123
167	0.8790124886	0.3190000542
168	0.8790124886	0.3186388944
169	0.8790124886	0.3183708307
170	0.8790124886	0.3181223895
171	0.8790124886	0.3177551758
172	0.8790124886	0.3175239456
173	0.8790124886	0.3172368061
174	0.8790124886	0.317110792
175	0.8791193971	0.3167814584
176	0.8791193971	0.3165148432
177	0.8791193971	0.3162107623
178	0.8791193971	0.3159610589
179	0.8791193971	0.3156005873
180	0.8791193971	0.3153122358
181	0.8790124886	0.3148787197
182	0.8791193971	0.3145643071
183	0.8791193971	0.3142843899
184	0.8791193971	0.3141033815
185	0.8791193971	0.3138800132
186	0.8792263315	0.3136515699
